"pid7","pid_partylean","group_colprofs","imp_schteach","votereg","education_importance","feeling_college_professors","party"
"Strong Republican","inapplicable, legitimate skip","56","Extremely important","Yes",5,56,"Republican"
"Strong Republican","inapplicable, legitimate skip","32","Extremely important","Yes",5,32,"Republican"
"Lean Republican","Closer to the Republican Party","0","Extremely important","Yes",5,0,"Republican"
"Lean Democrat","Closer to the Democratic Party","50","Moderately important","Yes",3,50,"Democrat"
"Lean Democrat","Closer to the Democratic Party","50","Moderately important","Yes",3,50,"Democrat"
"Lean Republican","Closer to the Republican Party","33","Extremely important","Yes",5,33,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","35","Extremely important","Yes",5,35,"Republican"
"Not sure","Closer to the Republican Party","40","Very important","No",4,40,"Republican"
"Lean Republican","Closer to the Republican Party","29","Extremely important","Yes",5,29,"Republican"
"Lean Republican","Closer to the Republican Party","30","Extremely important","Yes",5,30,"Republican"
"Strong Democrat","inapplicable, legitimate skip","66","Extremely important","Yes",5,66,"Democrat"
"Lean Democrat","Closer to the Democratic Party","89","Moderately important","Yes",3,89,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","48","Very important","Yes",4,48,"Democrat"
"Strong Republican","inapplicable, legitimate skip","53","Extremely important","Yes",5,53,"Republican"
"Strong Republican","inapplicable, legitimate skip","50","Very important","Yes",4,50,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","15","Extremely important","Yes",5,15,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","59","Extremely important","Yes",5,59,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","91","Very important","Yes",4,91,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","10","Very important","Yes",4,10,"Republican"
"Independent","Closer to the Republican Party","87","Very important","Yes",4,87,"Republican"
"Not very strong Democrat","Closer to the Democratic Party","79","Extremely important","Yes",5,79,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","51","Moderately important","No",3,51,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","80","Extremely important","Yes",5,80,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","94","Moderately important","Yes",3,94,"Democrat"
"Lean Democrat","Closer to the Democratic Party","53","Extremely important","Yes",5,53,"Democrat"
"Lean Republican","Closer to the Republican Party","14","Extremely important","Yes",5,14,"Republican"
"Lean Republican","Neither","60","Slightly important","Yes",2,60,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","30","Very important","Yes",4,30,"Republican"
"Lean Republican","inapplicable, legitimate skip","22","Very important","Yes",4,22,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","45","Extremely important","Yes",5,45,"Democrat"
"Lean Democrat","inapplicable, legitimate skip","40","Extremely important","Yes",5,40,"Democrat"
"Strong Republican","inapplicable, legitimate skip","51","Very important","Yes",4,51,"Republican"
"Strong Republican","inapplicable, legitimate skip","30","Extremely important","Yes",5,30,"Republican"
"Strong Democrat","inapplicable, legitimate skip","65","Slightly important","Yes",2,65,"Democrat"
"Independent","Closer to the Republican Party","100","Extremely important","Yes",5,100,"Republican"
"Strong Democrat","inapplicable, legitimate skip","72","Slightly important","Yes",2,72,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","71","Moderately important","Yes",3,71,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","83","Extremely important","No",5,83,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","46","Very important","Yes",4,46,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","57","Moderately important","Yes",3,57,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","85","Slightly important","Yes",2,85,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","78","Extremely important","Yes",5,78,"Democrat"
"Not very strong Democrat","Closer to the Democratic Party","50","Extremely important","Yes",5,50,"Democrat"
"Lean Democrat","Closer to the Democratic Party","70","Very important","Yes",4,70,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","90","Slightly important","Yes",2,90,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","85","Very important","Yes",4,85,"Democrat"
"Strong Republican","inapplicable, legitimate skip","21","Extremely important","Yes",5,21,"Republican"
"Strong Democrat","inapplicable, legitimate skip","63","Extremely important","Yes",5,63,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","60","Extremely important","Yes",5,60,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","60","Very important","Yes",4,60,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","92","Slightly important","Yes",2,92,"Democrat"
"Strong Republican","inapplicable, legitimate skip","10","Extremely important","Yes",5,10,"Republican"
"Lean Republican","Closer to the Republican Party","50","Extremely important","Yes",5,50,"Republican"
"Lean Republican","Closer to the Republican Party","54","Moderately important","Yes",3,54,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","100","Very important","Yes",4,100,"Republican"
"Strong Republican","inapplicable, legitimate skip","15","Extremely important","Yes",5,15,"Republican"
"Strong Democrat","inapplicable, legitimate skip","80","Moderately important","Yes",3,80,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","85","Extremely important","Yes",5,85,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","71","Slightly important","Yes",2,71,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","0","Extremely important","Yes",5,0,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","15","Very important","Yes",4,15,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","55","Very important","Yes",4,55,"Republican"
